country,log_type,category,measure,comment,date
Croatia,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,"People are not allowed to leave their county with intercity travel and vehicular traffic is suspended, with exceptions for essential workers and reasons",2020-03-23
Croatia,Introduction / extension of measures,Movement restrictions,Surveillance and monitoring,"Health Inspectors of the Croatian State Inspectorate are monitoring and enforcing orders to self-isolate. They are authorized to fine any individual violating this order with fines ranging from 8000 to 120,000 HRK ",2020-02-24
Croatia,Introduction / extension of measures,Public health measures,Strengthening the public health system,"Call to all entrepeneurs and businesses to reach out to ministry of health, if they have capacities to produce protection equipment",2020-03-21
Croatia,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,SME's have the chance to defer loan payments and easier access to loans ensured,2020-03-23
Croatia,Introduction / extension of measures,Public health measures,Strengthening the public health system,Development of health camp outside of main hospital ,2020-03-20
Croatia,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"Two new financial instruments are being introduced as of this week - the "" COVID-19 loan "" and the "" Micro loan for rural development """,2020-07-04
Croatia,Introduction / extension of measures,Public health measures,Other public health measures enforced,Stricter reporting mandated for retirement homes and care institutions ,2020-08-04
Croatia,Introduction / extension of measures,Movement restrictions,International flights suspension,Dubrovnic airport closed until 15th April,2020-03-19
Croatia,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Economic support for small dairy farmers,2020-02-04
Croatia,Introduction / extension of measures,Public health measures,General recommendations,"Recommendation for cleaning of various (public) services published, e.g. hotels, trains",2020-08-04
Croatia,Phase-out measure,Social distancing,Limit public gatherings,Public markets allowed to re-open under strict hygiene measures (with exemptions),2020-08-04
Croatia,Introduction / extension of measures,Public health measures,Strengthening the public health system,Temporary hotline established,2020-07-04
Croatia,Introduction / extension of measures,Public health measures,General recommendations,To Croatians having their residency abroad to stay in their country of residence unless for urgent reasons to return,2020-07-04
Croatia,Introduction / extension of measures,Public health measures,Strengthening the public health system,Digital AI-powered assistant to advise people how to diagnose and manage suspected COVID-19 infections launched,2020-04-14
Croatia,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"The government has also resorted to purchases of unsold stocks of finished goods in agriculture, food processing industry, medical equipment, and similar strategic goods.",2020-03-18
Croatia,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"Government announced additional measures, including: an increase of the subsidization of the net minimum wage; tax obligations of companies to be reduced or written-off depending on their turnover and loss; VAT payments will not be due until payment is received from customers, and the deadline for the 2019 financial reports will be extended to June 30",2020-01-04
Croatia,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"The Croatian National Bank (CNB) has provided additional liquidity, supported the government securities market, and temporarily eased the regulatory burden on banks; various measures implemented gradually",2020-03-17
Croatia,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,A moratorium for three months on obligations to banks has been introduced. Banks will not apply enforcement measures during this period.,2020-03-17
Croatia,Introduction / extension of measures,Lockdown,Partial lockdown,"Croats have been allowed to leave their homes to buy essentials or seek medical treatment, go for a walk or do an exercise, but not in a group and avoiding social contact.",2020-04-20
Croatia,Introduction / extension of measures,Lockdown,Partial lockdown,Expansion until 4th May: only allowed to leave home for essential reasons,2020-04-18
Croatia,Phase-out measure,Social distancing,Limit public gatherings,Church services with a maximum of 15 persons can be held under strict hygienic conditions.,2020-04-27
Croatia,Phase-out measure,Social distancing,Limit public gatherings,"All business entities engaged in trade activity are allowed to work, except those operating within the trade center",2020-04-27
Croatia,Phase-out measure,Social distancing,Limit public gatherings,"Resuming of work for all business entities engaged in services, except those in which close contact with clients is achieved (eg carpenter, tailor, key making, tourist agency branch, photo studio ...); physical distance measures need to be respected",2020-04-27
Croatia,Phase-out measure,Social distancing,Public services closure,Public urban and suburban transport lines and high-speed lines for islands,2020-04-27
Croatia,Phase-out measure,Social distancing,Limit public gatherings,"Libraries, museums, galleries, antiques and bookstores ",2020-04-27
Croatia,Phase-out measure,Social distancing,Limit public gatherings,Training sessions for professionals athletes resumed,2020-04-27
Croatia,Phase-out measure,Social distancing,Schools closure,State professional exam resumed for priority groups of students,2020-04-27
Croatia,Phase-out measure,Public health measures,Strengthening the public health system,Public and private health system will be fully operational with some minor exeptions,2020-04-05
Croatia,Phase-out measure,Social distancing,Limit public gatherings,Also businesses with close customer contact can reopen,2020-04-05
Croatia,Introduction / extension of measures,Public health measures,General recommendations,Recommendation to wear a face mask in shops and public transport,2020-04-23
Croatia,Introduction / extension of measures,Social distancing,Schools closure,Extension until further notice: school and university closure,2020-03-05
Croatia,Introduction / extension of measures,Movement restrictions,Additional health/documents requirements upon arrival,"Travel pass required for traveling between counties; travel passes are available for employees of essential services, transport of essential goods, media reporting, commuting to essential employment that cannot be done from home, emergency medical care, and vital family reasons.",2020-04-20
Croatia,Phase-out measure,Movement restrictions,Additional health/documents requirements upon arrival,Travel between various specific counties (city of Zagreb and Zagreb county) is permitted without a pass.,2020-03-05
Croatia,Phase-out measure,Social distancing,Public services closure,"Public transportation in cities and suburbs, as well as speed boat lines to those islands that did not have a ferry connection, will be reinstated. Public transportation will remain restricted to counties only.",2020-04-27
Croatia,Phase-out measure,Social distancing,Public services closure,Country-wide public transportation and domestic air traffic to reopen,2020-11-05
Croatia,Phase-out measure,Movement restrictions,Domestic travel restrictions,Country-wide public transportation and domestic air traffic to reopen,2020-11-05
Croatia,Introduction / extension of measures,Movement restrictions,Border closure,Extended until 17th May,2020-03-05
Croatia,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Moratorium imposed on enforcement proceedings during COVID-19 outbreak,2020-04-14
Croatia,Phase-out measure,Social distancing,Limit public gatherings,Up to 10 people allowed to gather in one place,2020-11-05
Croatia,Phase-out measure,Social distancing,Limit public gatherings,Shopping malls to reopen under strict hygiene measures,2020-11-05
Croatia,Phase-out measure,Social distancing,Schools closure,Pre-school institutions and classes from 1st to 4th grade as well as special classes and work with children with disabilities who have a teaching assistant to reopen,2020-11-05
Croatia,Phase-out measure,Social distancing,Schools closure,"Laboratory, artistic and clinical practice and small group work in higher education will be facilitated",2020-11-05
Croatia,Phase-out measure,Social distancing,Limit public gatherings,Catering facilities will be provided exclusively in outdoor areas and terraces with respect to specific epidemiological measures,2020-11-05
Croatia,Introduction / extension of measures,Social distancing,Public services closure,National and nature parks will operate,2020-11-05
Cuba,Introduction / extension of measures,Public health measures,Strengthening the public health system,Creation of an task-force to oversee the response to Covid-19.  ,2020-02-28
Cuba,Introduction / extension of measures,Public health measures,Awareness campaigns,,2020-02-18
Cuba,Introduction / extension of measures,Governance and socio-economic measures,Military deployment,Deployment of military hospital to strengthen public health system capacity. Measures taken by the government but described in public media.,2020-09-03
Cuba,Introduction / extension of measures,Public health measures,Health screenings in airports and border crossings,"Additional health screening at borders, especially travellers from impacted countries. Measures taken by the government but described in public media.",2020-09-03
Cuba,Introduction / extension of measures,Public health measures,Isolation and quarantine policies,All travellers enterring the country should quarantine for 14 days. ,2020-03-24
Cuba,Introduction / extension of measures,Movement restrictions,Border closure,"Only cuban resident are allowed to enter the country, with flexibility to ensure cooperation with some countries. Measures taken by the government but described in public media. Applies for 30 days.",2020-03-24
Cuba,Introduction / extension of measures,Public health measures,Strengthening the public health system,Increasing staff capacity.  Measures taken by the government but described in public media. ,2020-03-24
Cuba,Introduction / extension of measures,Social distancing,Limit public gatherings,"50%  of restaurant closed. Campings, hotels, cinemas and theatres are closed. Measures taken by the government but described in public media. ",2020-03-24
Cuba,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Strong social protection to avoid unemployment. Measures taken by the government but described in public media. ,2020-03-20
Cuba,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,"Tourists staying in hotels will be confined to those hotels until it is time for them to depart. They cannot leave the hotel unless to go to the aiport. All excursions are suspended. A medic will visit the hotel twice per day. Tourists can only move around for essential trips and in officially authorised and licensed transport, e.g. yellow taxis for trips to the airport to catch their flight. Tourists can no longer rent cars.",2020-03-23
Cuba,Introduction / extension of measures,Public health measures,General recommendations,Inhabitants should were masks anytime they leave their house.,2020-03-26
Cuba,Introduction / extension of measures,Movement restrictions,International flights suspension,All commercial and charter flights are suspended from entering or leaving Cuba until further notice.,2020-02-04
Cuba,Introduction / extension of measures,Movement restrictions,Border closure,"All foreign sea vessels are to leave Cuban waters. Exception may be granted on the grounds of health, fuel or technical problems.",2020-01-04
Cuba,Introduction / extension of measures,Public health measures,Testing policy,Anyone who arrived in Cuba between 17 and 23 March will be tested for Coronavirus.,2020-01-04
Cuba,Introduction / extension of measures,Public health measures,Isolation and quarantine policies,Tourists who did not leave on the scheduled commercial flights (last one on 1 April 2020) will have to stay in a designated hotel until the Government of Cuba reviews the measures.,2020-01-04
Cuba,Introduction / extension of measures,Public health measures,Isolation and quarantine policies,"An area of Vedado in Havana will be quarantined. The area, known as El Carmelo, Plaza de la Revolucion, will be closed from Calle 6 to Calle 28 (east to west) and from the Malecon to Avenida (north to south) approximately. ",2020-03-04
Cuba,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,Urban transport services will be limited from 11 April to essential services and fewer people will be allowed to travel in a bus or car. Travels between municipality will be reduced by 50%.,2020-11-04
Cuba,Introduction / extension of measures,Public health measures,Requirement to wear protective gear in public,"Wearing masks in public places is compulsory, including in vehicles.",2020-11-04
Cuba,Introduction / extension of measures,Lockdown,Partial lockdown,The municipalities of Turiguanó (Moron) and Limpios Grandes (Florencia) are under quarantine.,2020-12-04
Cuba,Introduction / extension of measures,Lockdown,Partial lockdown,"A number of districts in the Provinces of Camagüey. Holguin, Matanzas, Ciego de Avila, Pinar del Rio and Isla de la Juventud are in quarantine.",2020-04-21
Cuba,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,Formulation of an interagency working group to direct host government response to COVID-19 chaired by the Ministry of Public Health (MINSAP). ,2020-01-28
Cuba,Introduction / extension of measures,Social distancing,Schools closure,Schools are closed until the 20th of April.,2020-03-24
Cuba,Introduction / extension of measures,Social distancing,Schools closure,"Extension of school closure until further notice, courses are reorganised to ensure continuity in education.",2020-04-20
Cuba,Introduction / extension of measures,Movement restrictions,International flights suspension,Extension of flight suspension until 31st of May.,2020-01-05
Cuba,Introduction / extension of measures,Public health measures,Isolation and quarantine policies,"Social isolation will be extended to the five councils of the municipality of Centro Habana and to Luyanó Moderno, in the municipality of San Miguel del Padrón.",2020-08-05
Cuba,Introduction / extension of measures,Social distancing,Limit public gatherings,Sports events suspended until July 31,2020-04-30
Cuba,Introduction / extension of measures,Movement restrictions,Checkpoints within the country,12 road checkpoints for the disinfection of vehicles and execution of medical investigation.,2020-04-30
Cuba,Phase-out measure,Public health measures,Isolation and quarantine policies,"Quarantine halted in Camilo Cienfuegos community, in Pinar del Río.",2020-01-05
Cuba,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,"People will not be allowed to move between the main towns of the municipalities, and from these to the provincial capital, except in exceptional cases<;",2020-02-05
Cuba,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"The Cuban Telecommunications Company (ETECSA) announced new economic measures,  including the extention of the period of payment for services until 31st of May.",2020-05-05
Cyprus,Introduction / extension of measures,Movement restrictions,Border closure,All non cypriots or non cyprtiots who have a residence permit,2020-03-15
Cyprus,Introduction / extension of measures,Social distancing,Schools closure,,2020-09-03
Cyprus,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"Families, small business and vulnerable populations",2020-03-15
Cyprus,Introduction / extension of measures,Movement restrictions,Additional health/documents requirements upon arrival,International passengers,2020-03-15
Cyprus,Introduction / extension of measures,Public health measures,Isolation and quarantine policies,International passengers,2020-03-15
Cyprus,Introduction / extension of measures,Social distancing,Limit public gatherings,,2020-03-15
Cyprus,Introduction / extension of measures,Public health measures,Awareness campaigns,,2020-03-15
Cyprus,Introduction / extension of measures,Governance and socio-economic measures,State of emergency declared,,2020-03-15
Cyprus,Introduction / extension of measures,Social distancing,Public services closure,"All schools and hotels (until at least 10. April). All workplaces excpet those providing basic needs and emergency services (untul at least 27. March). All non-essentials public facilites. limited in ppl allowed in places of essiatials (pharmicies, grocery stores etc)",2020-03-16
Cyprus,Introduction / extension of measures,Movement restrictions,International flights suspension,All flights for 14 days ,2020-03-21
Cyprus,Introduction / extension of measures,Public health measures,Strengthening the public health system,"Suspension of non-emergent cases and surgeries, ban on patient vistors",2020-03-20
Cyprus,Introduction / extension of measures,Public health measures,Health screenings in airports and border crossings,"screening passengers from China, Hong Kong, northern Iran, Italy, Japan, Singapore and South Korea more intensively.",2020-07-03
Cyprus,Introduction / extension of measures,Movement restrictions,Curfews,"partial curfew will be in place for 14 days.  Individuals may only leave their residences to seek goods and services from essential personnel and businesses.  All public sector employees except for the police force, fire department, health, civil aviation, finance and similar services will be under administrative leave until March 27, 2020.  Private sector businesses except those which provide basic needs such as groceries, bakeries, gas stations, pharmacies, etc., will also be closed until at least March 27.  All business hours are restricted from 07:00 to 18:00.",2020-03-23
Cyprus,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,"enhancements to the emergency declaration. Until April 13, all unnecessary movement is banned with certain exceptions.  All people must carry identification and proof as to the purpose of their movement.  Parks, playgrounds, open-air sport spaces, and public gathering areas will be closed to the public.",2020-03-24
Cyprus,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,"Public Transport Companies which have the exclusive right to carry passengers on their geographical area, will not carry any passengers who do not possess any evidence, either in hard copy or electronic form (as these are issued by the competent authorities of the Republic of Cyprus), allowing them to be transferred outside their home.",2020-03-23
Cyprus,Introduction / extension of measures,Lockdown,Partial lockdown,A national lockdown will be enforced from 24 March to at least 13 April. All residents and citizens are required to stay home.,2020-03-24
Cyprus,Introduction / extension of measures,Movement restrictions,Curfews,"Curfew between 09.00 and 06.00 every night. The fine for those found disobeying the ban on movement has been doubled to €300. *exceptions those who need to be at work during those hours, who will have to carry a confirmation form signed by their employer (Form A). People are only allowed to leave their homes once a day and only if they receive permission after sending a text message to 8998. Only those over 65 will be allowed to fill out the printed form (Form B). ****One of the measures under consideration is an ankle bracelet usually used for persons under house arrest so that their movements can be monitored.****",2020-03-31
Cyprus,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,until April 13 **All people must carry identification and proof as to the purpose of their movement.  all unnecessary movement is banned with certain exceptions,2020-03-24
Cyprus,Introduction / extension of measures,Social distancing,Public services closure,"Cyprus Post is launching the 24- hour Parcel24 locker systems in the fight against Coronavirus. From Monday, April 6, 2020, and as long as the restrictive measures are in force, a number of registered items (barcode ""R"") and parcels (barcode ""C"") containing goods, provided that they bear the recipient's mobile phone, will be placed in the Parcel24 systems, regardless if the recipient is a subscriber.",2020-06-04
Cyprus,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"The Social Insurance Services, within the framework of preventive measures to address COVID -19, inform the public that the online application / JCC Smart website for online payment of contributions for February 2020 earnings will remain available until 14.4.2020. It is emphasized that in addition to paying through the JCC Smart application, in order to be able to register the earnings of their employees, all employers are required to submit the form titled ""Statement of Earnings and Contributions"" (Form YKA2-002) in the designated boxes located at local Social Insurance District Offices and subDistrict Offices",2020-03-04
Cyprus,Introduction / extension of measures,Public health measures,Strengthening the public health system," received a donation from the People's Republic of China to meet protective equipment needs and tackle the coronavirus pandemic. 1,320 protective medical uniforms were received whileand additional masks will be supplied to Cyprus. the special flight of Aegean Airlines and Hellenic Petroleum will deliver medical equipment and supplies, also donated from China.",2020-02-04
Cyprus,Introduction / extension of measures,Movement restrictions,International flights suspension,"prohibition of flights for a 14 -day period. **except cargo, departure of passengers from the Republic of Cyprus and flights for humanitarian purposes. ",2020-04-04
Cyprus,Introduction / extension of measures,Public health measures,Strengthening the public health system,cooperation with network of doctors to respond to medical needs of Cypriots abroad,2020-03-31
Cyprus,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"Announcement by the Ministry of Labour, Welfare and Social Security on the Special Scheme for Partial Suspension of Business and Provision of a Special Unemployment Benefit. It is valid from 16/3/2020 to 12/4/2020 for specified cases",2020-03-16
Cyprus,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,application for special sick leave,2020-03-29
Cyprus,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,unemployment and self-employment insurance ,2020-03-29
Cyprus,Introduction / extension of measures,Governance and socio-economic measures,State of emergency declared,extended until 30/4/2020,2020-08-04
Cyprus,Introduction / extension of measures,Movement restrictions,Curfews,extended until 30/4/2020: A curfew is in effect from 21:00 to 06:00 except for people holding a relevant employee movement certificate.,2020-08-04
Cyprus,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,extended/enhanced until 30/4/2020: Permission for additional necessary movement must be requested via SMS and will only be approved once per day (Persons over age 65 are allowed to use a printed form.),2020-08-04
Cyprus,Introduction / extension of measures,Social distancing,Limit public gatherings,extended/enhanced until 30/4/2020: Gatherings of groups at homes are forbidden except for those living at the particular address.,2020-08-04
Cyprus,Introduction / extension of measures,Movement restrictions,Surveillance and monitoring,Persons in self-isolation will be electronically monitored,2020-08-04
Cyprus,Introduction / extension of measures,Movement restrictions,Curfews,extended until at least 17/4/2020: general curfew is in effect from 21:00 to 06:0. Individuals may only leave their residences to seek goods and services from essential personnel and businesses.,2020-09-04
Cyprus,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,extended until at least 17/4/2020: Travel between regions is forbidden,2020-09-04
Cyprus,Introduction / extension of measures,Social distancing,Public services closure,"extended until at least 17/4/2020: Private sector businesses except those which provide basic needs such as groceries, bakeries, gas stations, pharmacies, etc., will be closed.",2020-09-04
Cyprus,Introduction / extension of measures,Social distancing,Schools closure,extended until at least 30/4/2020,2020-09-04
Cyprus,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"gradual payment of special benefits schemes implemented to support workers and businesses due to COVID-19. Allowance for the Special Leave of Absence for Child Care and the Special Allowance for Self-employed Persons have been paid to 20,500 employees",2020-04-14
Cyprus,Introduction / extension of measures,Public health measures,Testing policy,"Sampling to begin promptly for 20,000 employees in the private, public and wider public sectors and the National GuardCouncil of Ministers decided during its meeting on April 8, to subsidise 20,000 laboratory tests, which will be conducted within 20 days in collaboration with private laboratories that meet the criteria set by the Ministry of Health, on a nationwide basis.",2020-08-04
Cyprus,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,Validity of residence permits for seasonal employment extended by three months,2020-10-04
Cyprus,Introduction / extension of measures,Public health measures,Other public health measures enforced,"MSC Shipmanagement Ltd donated 106,000 surgical masks and 100,000 gloves to the Cyprus Government, to assist in the fight against the coronavirus disease outbreak.",2020-01-04
Cyprus,Introduction / extension of measures,Public health measures,Other public health measures enforced,"businesses with regard to their obligations to limit the spread of coronavirus, should organize and implement a disinfection procedure which shall be implemented after the end of every working day in all the premises that are visited by the public to receive services.",2020-03-04
Cyprus,Introduction / extension of measures,Social distancing,Limit public gatherings,"Extension of measures to protect elderly and vulnerable groups ie. Homes for the elderly and the disabled / Caregivers, as well as 24-hour care homes for People with Disabilities, both public and private, will not accept any visitors",2020-04-04
Cyprus,Introduction / extension of measures,Public health measures,Requirement to wear protective gear in public,"April 22, the “Council of Ministers” announced that beginning Friday, April 24, masks will be required of anyone outside during the month of Ramadan. ",2020-04-22
Cyprus,Introduction / extension of measures,Social distancing,Limit public gatherings,Group worship during Ramadan is forbidden. ,2020-04-22
Cyprus,Introduction / extension of measures,Movement restrictions,International flights suspension,extended until may 17 2020,2020-04-30
Cyprus,Phase-out measure,Social distancing,Public services closure,"The outpatient clinics of public and private hospitals are reopening on Monday, 27 April 2020, according to a decree issued by the Minister of Health. A provision according to which visits to private and public hospitals for non-urgent cases were banned has been removed from the decree. Consequently, clinics/departments will be allowed to arrange appointments for cases that are not urgent. It is also clarified that, according to the decree, planned surgeries are cancelled for patients whose health condition allows it and their lives are not in danger.",2020-04-27
Cyprus,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"as many workers as possible who have been laid off or have lost their full-time status due to the COVID -19 pandemic, the Council of Ministers, chaired by the President of the Republic, Mr Nicos Anastasiades, today approved a proposal by the Minister of Labour, Welfare and Social Insurance, Ms. Zeta Emilianidou, for a series of additional measures to support employees.",2020-04-23
Cyprus,Introduction / extension of measures,Public health measures,Testing policy,"Following a decision by the Council of Ministers, dated 8 April 2020, and a statement by the President of the Republic, the Ministry of Health would like to announce that as of tomorrow, 24 April 2020, it will begin random sample tests of 800 persons among the general public in Cyprus.",2020-04-24
Cyprus,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"Special benefits were paid today to about 7,500 additional beneficiaries, after a personalized examination and correction of the errors that have been identified in the applications that were submitted, which mainly concerned the confirmation of their bank accounts.",2020-04-22
Cyprus,Introduction / extension of measures,Movement restrictions,International flights suspension,extended until at least 17 May *except for repatriation flights for Cypriot citizens and foreign nationals. Cargo flights are operating as normal.,2020-04-30
Cyprus,Introduction / extension of measures,Public health measures,Requirement to wear protective gear in public,"Within the TRNC, all patrons are required to wear face masks when outside during the Holy Islamic month of Ramadan (24 April- tentatively 23 May).",2020-04-24
Cyprus,Phase-out measure,Movement restrictions,Curfews,phase 1 of easing resitrictions: Curfew restrictions will be partially relaxed from 4 May to 22.00 – 06.00 (local time) until 21 May – when all movement restrictions will be lifted.,2020-04-05
Cyprus,Phase-out measure,Movement restrictions,Domestic travel restrictions,all movement restrictions will be lifted.,2020-05-21
Cyprus,Phase-out measure,Social distancing,Public services closure,Retail businesses may resume operation and open-air markets may reopen along with the pubic secotr (May 4.),2020-04-05
Cyprus,Phase-out measure,Social distancing,Schools closure,Classes for high school seniors (only) will resume on May 11.,2020-11-05
Cyprus,Phase-out measure,Public health measures,Other public health measures enforced,"Restrictions in public and private hospitals will be gradually lifted. however, visitors will still be prohibited, no urgent cases may only use 60% of beds (but adjusted according to pandemic). outpatient clinics must have appointments ",2020-04-05
Cyprus,Phase-out measure,Movement restrictions,Domestic travel restrictions,the authorities will issue up to three SMS permits for movements per person per day.,2020-04-05
Cyprus,Phase-out measure,Social distancing,Public services closure,"As of May 4, prayer will be allowed in places of worship in groups of no more than 10. Other religious services remain prohibited until June 1.",2020-04-05
Cyprus,Phase-out measure,Social distancing,Public services closure,"as of June 1, other religious services beyond prayer (of only 10 persons) will be permited. ",2020-01-06
Cyprus,Phase-out measure,Social distancing,Public services closure,Personal exercise will be allowed in open spaces in groups of two.  Underage children are exempted.,2020-04-05
Cyprus,Phase-out measure,Social distancing,Public services closure,-Hairdressing salons/barber shops/ beauty salons (as of May 21),2020-05-21
Cyprus,Phase-out measure,Social distancing,Public services closure,"Catering services, only in open spaces (as of May 21)",2020-05-21
Cyprus,Phase-out measure,Social distancing,Public services closure,"Libraries, Museums, archaeolgical and historical sites, betting shops",2020-01-06
Cyprus,Phase-out measure,Movement restrictions,Border closure,"Ports in full operation (as of June 1), excluding for disembarkation of cruise ships passengers.",2020-01-06
Cyprus,Phase-out measure,Movement restrictions,Domestic travel restrictions,The obligation to send SMS will be discontinued as of May 21.,2020-05-21
Cyprus,Phase-out measure,Social distancing,Limit public gatherings,gatherings of 10 people will be permitted ,2020-01-06
Cyprus,Phase-out measure,Social distancing,Limit public gatherings,"Movement will be permitted in parks, open space playgrounds, squares, marinas etc ",2020-01-06
Cyprus,Phase-out measure,Movement restrictions,Domestic travel restrictions,Restrictions on movement between 10.00 p.m. and 6 a.am. will be lifted,2020-01-06
Cyprus,Phase-out measure,Social distancing,Public services closure,"shopping centers/department stores, airports, ports, caterining services (including indoor) hotels, beaches, open air cinemas/theaters, gyms, athletic competitions",2020-09-06
Cyprus,Phase-out measure,Social distancing,Public services closure,"indoor theaters/cinemas, festivals/concerts, casinos, playgrounds (indoor and outdoor)",2020-09-06
Cyprus,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,creation of 4 phases of easing restrictions related to Covid-19. phase 1: 4/5/2020-20/5/2020. phase 2: 21/5/2020-8/6/2020. phase 3: 6/9/2020-13/7/2020. phase 4: 14/7/2020 and onward,2020-04-05
Cyprus,Introduction / extension of measures,Public health measures,Requirement to wear protective gear in public,"compulsary for staff: Public transport vehicles, interior spaces of private businesses, departments of public sector, and those working is direct contact with retail trade (ie. cashiers, etc). for everyone else - highly recommended but not complusary.",2020-04-30
Czech Republic,Introduction / extension of measures,Public health measures,Health screenings in airports and border crossings,Screenings at major border crossings,2020-12-03
Czech Republic,Introduction / extension of measures,Public health measures,Isolation and quarantine policies,If an infection is suspected authorities may be directed to a quarantine facility for testing and legally mandated quarantine. ,2020-12-03
Czech Republic,Introduction / extension of measures,Social distancing,Schools closure,"All schools, universities, cultural institions are closed for the next 30 days. ",2020-12-03
Czech Republic,Introduction / extension of measures,Social distancing,Limit public gatherings,All public events with more than 30 people are banned. ,2020-12-03
Czech Republic,Introduction / extension of measures,Governance and socio-economic measures,State of emergency declared,,2020-12-03
Czech Republic,Introduction / extension of measures,Lockdown,Partial lockdown,"Nationwide quarantine from 16 March until 24 March, except for essential needs, helping others and necessary trips to famillies; extended to last until 11th April",2020-03-16
Czech Republic,Introduction / extension of measures,Movement restrictions,Border closure,Borders closed from 16 March to 24 March,2020-03-16
Czech Republic,Introduction / extension of measures,Public health measures,Requirement to wear protective gear in public,People are required to wear protective medical masks and keep a distance of 2m everywhere,2020-03-18
Czech Republic,Introduction / extension of measures,Social distancing,Limit public gatherings,Ban of all public and private gatherings,2020-10-03
Czech Republic,Introduction / extension of measures,Public health measures,Other public health measures enforced,"For the protection of elderly people, only people over 65 years or people with disability over 50 are allowed to enter grocery and drug stores from 7-9am (earlier set as 10-12am). Also, a support hotline for elderly to help them with their shopping was implemented",2020-03-19
Czech Republic,Introduction / extension of measures,Social distancing,Public services closure,"Some of the national long-distance trains have been restricted, affecting 6.6% of train journeys ",2020-03-18
Czech Republic,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Parents can now receive care allowance until the ban on school attendance is liften and more widely than under previous legislation,2020-03-19
Czech Republic,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,The government has extended its COVID loan program from 600 million to 10 billion crowns and further extended financial support to self-employed persons. Also a targeted employmet support program was implemented (covering parts of companies costs after March 1st),2020-03-19
Czech Republic,Introduction / extension of measures,Movement restrictions,Additional health/documents requirements upon arrival,"Cross-border commuters have to present a special document, the so-called cross-border worker's passbook to monitor the frequency of border crossings",2020-03-21
Czech Republic,Introduction / extension of measures,Public health measures,Strengthening the public health system,"The government has ordered that all acute in-patient care facilities be obliged to allocate capacity for such cases. In total, 400 beds with ventilation and another 400 beds with oxygen support should be prepared for seriously ill patients in the Czech Republic at this stage",2020-03-19
Czech Republic,Introduction / extension of measures,Movement restrictions,Surveillance and monitoring,"People with confirmed SARS CoV -2 may be, under their agreement, tracked through data provided by banks and telecom providers",2020-03-19
Czech Republic,Introduction / extension of measures,Public health measures,General recommendations,People over 70 are encouraged to stay at home,2020-03-28
Czech Republic,Introduction / extension of measures,Social distancing,Limit public gatherings,Maximum of 2 people allowed in public spaces (families and people performing work are exempted),2020-03-26
Czech Republic,Introduction / extension of measures,Social distancing,Limit public gatherings,"Expansion of exemptions of previous public service closures: locksmithing and servicing of household products, repair, maintenance and installation of household machinery and equipment, funeral services and car washes",2020-03-26
Czech Republic,Introduction / extension of measures,Social distancing,Limit public gatherings,"Hotels and any type of accommodation forbidden, with the exception of accommodating people for work (per 27.03.2020)",2020-03-16
Czech Republic,Introduction / extension of measures,Governance and socio-economic measures,Limit product imports/exports,reexports of medicines and medicinal products registered for CZ market to the EU and the export of such outside the EU is forbidden,2020-03-18
Czech Republic,Introduction / extension of measures,Social distancing,Limit public gatherings,"Policy for stores with special opening times for vulnerable people adapted: ll shops over 500 m2 are reserved from 8:00am to 10:00am for seniors and disabled persons above 50 years of age. In stores below 500 m2, employees are ordered to give priority to the above-mentioned persons.",2020-03-25
Czech Republic,Introduction / extension of measures,Movement restrictions,Border closure,Czech nationals are forbidden to leave the country (some exceptions e.g. cross-border workers),2020-03-13
